General,ms-call:,launch call app
General,ms-call:settings,Launches the Calls app settings page.
General,ms-chat:,Launches the Messaging app.
General,ms-chat:?ContactID={contacted},Allows the messaging application to be launched with a particular contact's information.
General,ms-chat:?Body={body},Allows the messaging application to be launched with a string to use as the content of the message.
General,ms-chat:?Addresses={address}&Body={body},"Allows the messaging application to be launched with a particular addresses' information, and with a string to use as the content of the message. Note: Addresses can be concatenated."
General,ms-chat:?TransportId={transportId},Allows the messaging application to be launched with a particular transport ID.
General,mailto:,Launches the default email app.
General,mailto:[email address],Launches the email app and creates a new message with the specified email address on the To line. Note that the email is not sent until the user taps send.
General,http:,Launches the default web browser.
General,ms-yellowpage:?input=[keyword]&method=[String|T9],Launches the installed Point of Interest (POI) search app that supports this new URI.
Maps,bingmaps:,Opens the Maps app.
Maps,bingmaps:?cp=40.726966~-74.006076,Displays a map centered over New York City.
Maps,bingmaps:?cp=40.726966~-74.006076&lvl=10,Displays a map centered over New York City with a zoom level of 10.
Maps,bingmaps:?bb=39.719_-74.52~41.71_-73.5,Displays a map of New York City with the size of the screen as the bounding box.
Maps,bingmaps:?bb=39.719_-74.52~41.71_-73.5&cp=47~-122,"Displays a map of New York City, which is the area specified in the bounding box argument. The center point for Seattle specified in the cp argument is ignored."
Maps,bingmaps:?bb=39.719_-74.52~41.71_-73.5&cp=47~-122&lvl=8,"Displays a map of New York, which is the area specified in the bb argument. The cp argument, which specifies Seattle, is ignored because cp and lvl are ignored when bb is specified."
Maps,bingmaps:?collection=point.36.116584_-115.176753_Caesars%20Palace&lvl=16,Displays a map with a point named Caesars Palace (in Las Vegas) and sets the zoom level to 16.
Maps,bingmaps:?collection=point.40.726966_-74.006076_Some%255FBusiness,Displays a map with a point named Some_Business (in Las Vegas).
Maps,bingmaps:?cp=40.726966~-74.006076&trfc=1&sty=a,Displays a map of NYC with traffic on and aerial map style.
Maps,bingmaps:?cp=47.6204~-122.3491&sty=3d,Displays a 3D view of the Space Needle.
Maps,bingmaps:?cp=47.6204~-122.3491&sty=3d&rad=200&pit=75&hdg=165,"Displays a 3D view of the Space Needle with a radius of 200m, a pitch or 75 degrees, and a heading of 165 degrees."
Maps,bingmaps:?cp=47.6204~-122.3491&ss=1,Displays a Streetside view of the Space Needle.
Settings,ms-settings:,Landing page for Settings
Settings,ms-settings:screenrotation,Display
Settings,ms-settings:notifications,Notifications & actions
Settings,ms-settings:phone,Phone
Settings,ms-settings:messaging,Messaging
Settings,ms-settings:batterysaver,Battery Saver
